@rowCount	2000
w	d	t
korikeem	people	SU
korobutik	dignitary	SU
kosabé	determine	VT
kosayik	cousin	SU
kosayikya	cousin	SU
kosik	victim	AQ
kosmá	examine	VT
kosmara	discovery	SU
kost	compendium	SU
kostá	insert	VT
kostara	introduction	SU
kosuté	enter	VT
kosutera	entry	SU
koswá	imply	VT
kotabaf	eternal	AQ
kotaf	entire	AQ
kotaksataf	monthly	AQ
kotaskira	accomplishment	SU
kotawara	burial	SU
kotca	claw	SU
kotcá	scratch	VT
kotcoba	all	PN
kotcomera	sly joke	SU
koteyá	kindle	VT
kotgrupé	celebrate	VT
kotinde	for every reason	AV
kotla	university	SU
kotliz	everywhere	AV
kototawé	get in	VI
kotrakura	education	SU
kotrakus	instructive	PA
kotron	completely	AV
koverté	record	VT
kovertokara	admission	SU
kovoa	affluent	SU
kovogá	swear	VT
koyá	travel	VI
koyara	journey	SU
koyaralafaga	tourist agency	SU
koyasik	traveller	SU
koyutarula	tourism	SU
koyva	asphalt	SU
koyvá	asphalt	VT
kozwí	descry	VT
kraba	apartment	SU
krafol	wheel	SU
krafolm	roll	SU
kraimol	leopard	SU
krajú	condescend	VT
kralka	scale	SU
kramon	genuinely	AV
kramta	orange	SU
kramtaal	orange-tree	SU
kramtukaf	orange-coloured	AQ
krapol	lion	SU
krapoloc	whelp	SU
krapolya	lioness	SU
krasey	southernwood	SU
krayta	tide	SU
kreda	condition	SU
krede	da if	CJ
krem	absinth	SU
krent	words	SU
krenugaf	affectionate	AQ
krenugon	softly	AV
krepka	cell	SU
krets	blot	SU
kretú	charge	VT
krey	satellite	SU
kreyta	anvil	SU
krezé	faint	VI
krido	pike	SU
kriel	krypton	SU
kriga	shoulder	SU
krimba	rib	SU
krimbaxa	cutlet	SU
krimt	coast	SU
kru	glue	SU
krú	glue	VT
kruba	olive	SU
krubaal	olive-tree	SU
kruldé	exist	VI
krumká	hiccup	VI
krungaf	acid	AQ
krunguca	unkindness	SU
krus	adhesive	PA
krusuca	adhesion	SU
ksago	pineapple	SU
ksagokratela	pineapple juice	SU
ksé	commit suicide	VI
kseara	assembly	SU
kseldú	recruit	VT
ksent	ear	SU
ksevá	colour	VT
ksewa	osier	SU
ksodakola	angina	SU
ksubé	apply	VT
ksudá	copy	VT
ku	crane	SU
kubelik	proletarian	AQ
kuca	grace	SU
kuce	thisle	SU
kucilá	need	VT
kucilara	approach	SU
kuda	fable	SU
kudel	chlorine	SU
kudja	statue	SU
kueca	seal	SU
kufta	axe	SU
kuja	ferry	SU
kuk	ticket-window	SU
kuksa	river	SU
kuksama	brook	SU
kulaf	rich	AQ
kuld	shell	SU
kulirna	chopper	SU
kulmé	mean	VT
kulor	trunk	SU
kulton	awfully	AV
kuluca	wealth	SU
kulupaf	resplendant	AQ
kuré	be married	VT
kurenaf	married	AQ
kurenikya	wife	SU
kurenikye	husband	AQ
kurera	marriage	SU
kuritca	clay	SU
kuriudanaf	able	AQ
kurná	spice	VT
kurt	tongs	SU
kurtá	pinch	VT
kusaf	green	AQ
kusia	aster	SU
kustrol	giraffe	SU
kutc	lip	SU
kutcedá	have sex	VT
kwala	viper	SU
kwik	domestic animal	AQ
laba	dune	SU
ladava	elbow	SU
laday	cable	SU
lae	relief	SU
lafaga	agency	SU
lag	job	SU
laga	cube	SU
laizon	all of a sudden	AV
lamá	migrate	VI
lamas	itinerant	PA
lambey	capercaillie	SU
lamé	wear down	VT
lamone	castle	SU
lanaf	reliable	AQ
landesiki	plane	SU
lanhá	condemn	VT
lanhey	intestine	SU
laof	daring	AQ
laona	hallucination	SU
laoon	boldly	AV
lapí	go	VI
larida	throat	SU
laspedaf	brave	AQ
laspeduca	courage	SU
latime	mortgage	SU
latista	dragonfly	SU
latkaf	blond	AQ
laumá	increase	VI
lavafozdema	towel	SU
lavaga	hydrogen	SU
lavagul	hydrate	SU
lavajeb	brandy	SU
lavak	aquarium	SU
lavakiraf	watery	AQ
lavanarilt	aqueduct	SU
lavasevero	sea-plane	SU
lavatral	hydraulics	SU
lavatralaf	hydroelectric	AQ
lavolk	drop	SU
layta	tissue	SU
lazava	cause	SU
leakom	shovel	SU
leakomá	shovel	VT
lebaf	bare	AQ
leca	symbol	SU
lefini	pyjamas	SU
legaf	tired	AQ
legas	passive	PA
legeja	sole	SU
lejá	pump	VT
lejasiko	pump	SU
lekeon	long ago	AV
lele(d)-	less and less	PT
lelt	leather	SU
lembié	boil	VT
lembieda	bouillon	SU
lent	across from	SU
lenteka	north	SU
lentor	fa#ade	SU
lerd-saneaf	ninetieth	AQ
lerd-sanoy	ninety	AN
lerdeaksat	September	SU
levayká	guess	VT
levaykas	would-be	PA
levaykason	da supposing that	GE
levbiraf	submarine	AQ
levbiratota	submarine	SU
levburé	abide	VT
levcenhé	convince	VT
levconhá	remark	VT
levetawaf	underground	AQ
levetirik	slave	AQ
levetiruca	serfdom	SU
levgá	pass	VT
levgaf	sudden	AQ
levgira	behalf	SU
levion	lately	AV
levkipé	smile	VI
levlavá	immerse	VT
levlavaf	underwater	AQ
levoksé	subtract	VT
levoksera	subtraction	SU
levplekú	submit	VT
levsugdalaks	overtone	SU
levtiruca	slavery	SU
lewa	slug	SU
lexa	music	SU
lexusik	musician	SU
lhaf	axial	AQ
lhava	drive shaft	SU
lhumá	struggle	VT
lhumara	struggle	SU
liba	pus	SU
libakol	hare	SU
libol	rabbit	SU
libolxo	warren	SU
libú	vote	VT
licá	oppress	VT
licarundá	agglomerate	VT
licarundawé	agglomerate	VI
licedá	agglutinate	VT
licedara	agglutination	SU
licedas	agglutinative	PA
lidaf	moral	AQ
limega	dial	SU
limegama	diskette	SU
linaf	apathetic	AQ
lingé	paint	VT
lingera	dye	SU
lingesik	painter	SU
linté	persevere	VI
liom	customs	SU
liomik	customs officer	SU
lioza	cloak	SU
liozak	cloakroom	SU
lipta	bastion	SU
lird	well	SU
lirdé	draw	VT
lirk	obstacle	SU
listaf	beautiful	AQ
listikya	beauty	SU
listuca	beauty	SU
lit	printed matter	SU
litca	vein	SU
litiel	lithium	SU
liugé	put to sleep	VI
livaf	bent	AQ
liwa	card	SU
liway	cardboard	SU
lize	where	AV
lizimeltasiko	engine	SU
lizira	movement	SU
lizukaf	regional	AQ
lizukedú	farm	VT
lizukeduray	rent	SU
lizukedusik	renter	SU
lizuxo	aerie	SU
loba	marsh	SU
lofra	musket	SU
lofta	seagull	SU
logá	digest	VT
loité	comb	VT
loitesiki	comb	SU
lokaza	belladonna	SU
loma	category	SU
loon	else	AV
lorbaf	pious	AQ
lorbuca	devotion	SU
lordé	plan	VT
lordeks	design	SU
lorik	god	SU
loror	swan	SU
lorot	banquet	SU
lorotá	banquet	VI
lorotaf	worse	AQ
lorspa	ski	SU
lospa	group	SU
lospá	group	VT
lostá	drain	VT
losumeon	beyond	AV
lotasiko	shower	SU
louca	majority	SU
lovaf	positive	AQ
lovolk	command	SU
loy	rubber	SU
loyen	job-	PA
lo(d)-	more	PT
lubé	drop	VI
lubek	toe	SU
ludev	feature	SU
ludot	lock	SU
ludzé	split	VT
luez	tomato	SU
lugavaf	extreme	AQ
lugodaf	elevated	AQ
lujaf	ablaze	AQ
lujor	square	SU
lujuca	glow	SU
lukast	beard	SU
lukastkiraf	bearded	AQ
lukidoy	balustrade	SU
lukoptaf	grey	AQ
lukraf	adult	AQ
lum	measure	SU
lume	pavement	SU
lumisá	compensate	VT
lumiskuca	infinity	SU
lumislon	endlessly	AV
lund	moped	SU
lundek	streetcar	SU
lurk	paragraph	SU
lurská	brave	VT
lusteks	acquisition	SU
lut	copper	SU
luwí	ad-lib	VT
luxe	as regards	PP
luz	chapter	SU
lwí	attempt	VT
lwira	attempt	SU
ma	upper arm	SU
maaktaca	stunt	SU
maaktaf	acrobatic	AQ
maaktik	acrobat	AQ
madá	lever	VT
madasiki	lever	SU
mafelá	admire	VT
mafelaf	admirable	AQ
mafelara	admiration	SU
mafelas	admiring	PA
mafelasik	admirer	SU
magda	cap	SU
magnel	magnesium	SU
malgildé	hear	VT
malgulyá	moor	VT
malhaf	correct	AQ
malhé	judge	VT
malhera	adjudication	SU
malherot	justice	SU
malhesik	judge	SU
malhon	equitably	AV
mali	since	PP
mallaní	start off	VT
mallanira	departure	SU
mallapí	drive away	VT
malterktá	pay attention to	VT
malti	gravel	SU
maltrakú	abstract	VT
malvajá	download	VT
mam	sound	SU
mamá	sound	VI
mamlé	give a ring	VT
mamlesiki	bell	SU
mamtaf	sonorous	AQ
mantaf	lax	AQ
manton	widely	AV
mantuca	expanse	SU
mard	pearl	SU
marna	key	SU
marná	lock	VT
martig	style	SU
marwida	curtain	SU
masdjida	mosque	SU
matela	garden	SU
