@rowCount	3257
w	d	cache	q	s
lo mamta be mi ca fengu	My mother is angry.	lo,mamta,be,mi,ca,fengu,le,my,mot'er,is,angry	ROOPNPQRSNMIMMMQPLOLNTOOLUNOOOOLSPNNMPPPNOOJQPSQOMMOMNQMUQTRNTONMOTQNRRQPPOPROVSJNLOQLONNPPNROOLMMJTOQOPPPPMMOLLLOPQPPPMONMRPMLOPSPRQRPOMMMNMPLSQOOOLOOLLLRNKNONQMNLPNKMNNPNQRPJOQPORQOPQLRRMMOPRPPOOPNLQMLOMQKLRMSRQMKOOSMNROLOPPMSRLQUQPQLQQWNRQPMJQPONLPNOPPMLOOQNMMNPQSWOPQPNSKKSPQLPLMKQNFOOMMLMRQQIONPORPMQQPNLKRROPONQMOOONRLMNSOMOQPOORNQONPNOTPNNPRPTPQNOLKPNMIIPLMNPQMMOPNPQPLOLMSTLNK
lo me mi mensi lu kelci lo prenu se kelci	My sister plays with dolls.	lo,me,mi,mensi,lu,kelci,prenu,se,le,my,sister,plays,wit',dolls	QOQMINRNNRPNSMQOQRLOILROOPMMNLMPNQQUPNPMMMPPNMNONNOQPQOQQORPMQRNMNNOLNLRTPPORLRPIOOLMNPOKONOOPOJONNRMQSPMOOMNMMKLQLLROOKQSLPQMNORNSRPQPPNNNNKOOQNOPTNRLTNQQMPQSOPRONONNPQMPMLLSMMNNPNQPOPJPPPNOOPQRNOMLOMOMPONLKSNOPNLHMMNOMNMLORNQPRKNORQNKPMQPSPSKKTRPMMOONQQMPLQNIMOJQMNSQMNPSPJOQJOQRMSORRKQLQJORPNVNSJNLMTQMPOOONOOMMPQONMORRPJOSSNNPUPPLTNRPORQNQMMMOQLRSRNRNLMKJNRQQMNORIQQNSKTPKONOPPONM
lo me mi patfu ku nanca li mo'a pa mu	My father is only fifteen years old.	lo,me,mi,patfu,ku,nanca,li,mo'a,pa,mu,my,fat'er,is,only,fifteen,years,old	SSPLNOONMOPLMQQNRQOJOPOKNPKMRRSMQLNMNQNPOQQORPQPVSMOTNOLKMPMMPLMMMROPQNNNSNQMQROJQMNKOSOISOOMQNMPLISMOTRPRORPPNNNOOROOMOOQOQOLPOSTLSOQPNKMRJNIMSOMPPIMMNRNNNOOLSOJOMSNPMPNNOROQMONNOKHLLPNRRQMMSLKRLPMNNPLNOOOMOQMOPROKRPNKJONOOOLTNSLQTPOOOPPQROPLOLWPRMNMNLQNKMMMMMONPROSOOPNPNSNRPOQNTKMMNOMPPPKPLQNLQOMMRUQLPOONLKRIORNNPPOOPLOPMQQPPQOQQLRITONOMNPTPNRPOSQNROMKOPNLNQNQMROMOPOPSNPQPPMPSMQM
lo me mi verba ku je'a nelci lo danlu	My children really like animals.	lo,me,mi,verba,ku,je'a,nelci,danlu,my,c'ildren,really,like,animals	PNTRLLPNTRPLNRRQRONNKPROLSNNNPOMOONRONROLORMKNLJUQPONNNOMOSNQRNOMONRPONQSQKSONRJLLMKSQPMGPOMRMPNPNLPNPMRPOKOPMKPPTOPRMPLOQPPQKLONMPPNSPOLNKSMOONMMQNKQPVSMNMMPOMNOLNRMPSTINONSPQKOPNNNNQPPLNPOQKPOSTONOQLHMLROKMNOPOONPLONNMOKNOLLPPLKOQPSOPOLOKQPRKMQNQSPKMOOROONSLKONOQKLRNRQQPQPRQLPOTMSNOPORLNJMOMOPMNNNOOTSOPOPQMLOOPROPNPONPRPQTMNNQQPMPSLTMSTLTOMMNPMRRPNOQRLNMPOPTPOMOTNQPJPNNOLMONRTSPS
lo me mi verba ku zvati lo ckule	My children are in school.	lo,me,mi,verba,ku,zvati,ckule,my,c'ildren,are,in,sc'ool	POROPMPPSPROOPPORNLIMQMRMVNMNNLLRNOQTQQOMMPOQOMLTROOPTNNNKROMPKPJOOSPOMPSSPQPNUMKKMIRPQPMNOPNRNKONMUORQRMMNONNONRSMPSQPNNRNMNJJOQQPSNMPOOKNNOKOQMQMTLKNSNRMNPPSOMONNSMNPQKQOPQOOMNONGHMPPQPNQQMLOOPSUKNNOPQMONNRSKQOQKLMLOJOPPIOOPMLONSRNPNPPLPKRRNOKTORQMNPOTQMOPNOJPKNRMNTKRLQLRMQMKOPRMOONMMRQOISPPORMKMMSROPOOMMKMSPOPPRONNOSQQQPQMPPRQNPLUONMPQLPQRPNPQNRPONNMLNOQPNLPQNROMPOLLPLPPNMLPRRMP
lo me ta bruni ku mutce carmi cilre	His brother studies very hard.	lo,me,ta,bruni,ku,mutce,carmi,cilre,his,brot'er,studies,very,'ard	SSMNLMOPKOONNQLKMNMLMPSKQQONTOOOMRPQOTRMNNTNOLOLRQJKSLQSQQMPKNMMONRMRSQPMQQNLRRMNKJONNMKLNQMOORNSQJTNORRLQRQOOMMORQNPPLQOQLQNKOOURLTNONQONRQPNPQMONONPRMNOQKQPNPLONPSNOQNQQPOTROQNOLMHOPRPPRSOPVNMLQOLJMOIOPKOLNPNQLKSMNQROLOLNOKMQRRLOQROOROQPOQSNQRROPLOMMMQNOLMMOKPKOSOOLRNOQNOOQPMRNOOMRPNMTLSLOQRNMOMMTMQOMNKLMNMPKQMNNRNOOOKOMOTLONTKNQOOOTONNPLTTONSQPQOQLMPORPNNMKOQPNONRNOSMNQNOOIPUQOM
lo melbi cu lisri fi ko lo citno pendo be mi	Tell a beautiful story to my young friend.	lo,melbi,cu,lisri,fi,ko,citno,pendo,be,mi,tell,a,beautiful,story,to,my,young,friend	RUTSOMONPNNQRRNROOOLRPPPPMPOMPPMQPNROMRMONOPPLOLOMLPKJOQLNRMNOOQPNOSOPNQPQIMQNNOLNPNMKRLMOMNMQMMMLJPRTQQPROPLOVPNOQOOMNNOPKRLJTORPPSSSOOIOONONPPJQTRPMNNMPPNPPRRQOOMPMQQQNKLORMOLLKOMONRRLSOSOMLQPQKQKLSLNNNOKOPQOGNMOMKLQNMQJNORQOMQJLSPQOMSMQPSPLPNSNPMPQMNMSPPOLSNMPQTKQNOMQNQNNOOQQKNPTOMNLQMMKLKQMQNQSNKLMOOPPOOKONMPJOQLOONLMMPSSOLPMQMSOLVNSPSRQNMONMKSOPRRONPMOMRQPQQQRKOSLMOOOKKOOPQSNM
lo melbi dansrtinikli cu kulnrfilipino	The beautiful Tinikling dance is Filipino.	lo,melbi,dansrtinikli,cu,kulnrfilipino,undefined,t'e,beautiful,tinikling,dance,is,filipino	NPOOILRMMNOMLNPPORQLNKRQPNRRQNJVLQKOINOPPORMPMMOPOMQNMRNSORTPRPQMMMRQMNLRQKPQOIONOPKMNNOMNNVILQOONMQRPQQJPRPPNMOOONMMQMRRJMJMKQOSSQLTNLHHRNNJMOMNOMPPSMMLTQJOPNRONOJOJOOPNQRLQOQRQPKQPSNONQPQNNKOPNMSHNRMTPNQNQOMQRKQQNOMSMQPNNOPNPORMPOQQQMTMOMTTMNMQLKKQPMMQROKNQQRLKRMNQPOMLSLLROPOQPRLMOPMOPQRRNQNPOKQQRNSTONNLPNMPNOPOOMOQOONMNPSQNOMQOROOPRTOPQMONJPORMPOONOMPLOOMPOQQLNQNMOOQNOQPSSLONOPP
lo mensi be do cu ca mo	What is your sister doing now?	lo,mensi,be,do,cu,ca,mo,w'at,is,your,sister,doing,now	RNPOMMPMONONMPMNRNJPJMRRRSMPQLKPMQQSPPRNOJNMONPPSLONLNRQOPSPMSPQKOMOPPNRPOOOSPSNNMNRNNMNQKONPNOLMNNTNSRNNORSOMNMKOPQQRNOQRMNPOMOTPPSQTOQOOROJMPQMQQTQOQTOQQLLONRPMKJPNOQNNRLKMRQOOMQOONROJQQQOLPPNQMPMMRKPOQMMKJTPOQNNHKNPLOQMNOSPLPRLLPNONMQPNOQRQLKSNRQPSOMLQNNKQQKKNKRKRTROMQOPOJRRSQOMONOOLQLQNLNRPQMOMPLKOPKOPKPLRSPNQONPMORRKKNSSONLSNRNROTNONSMRPMLOUOQQRMQKIQLMONQNOLMNLOMKPOSQOOMLRPLMN
lo mensi be mi cu misno	My sister is famous.	lo,mensi,be,mi,cu,misno,le,my,sister,is,famous	QOOMNNTQROONRLMOTQJLJMQPNPNOONKNLRRTNQPONJQNONPPNOMNMNRONNQQOPMOKQNPMOOQPTQQRQPQNJONOMLLNINOONPMPMOUNSRQMPQRPLPOMRTORRNGNQLNMLMOOQQRPQMNNMQLILPSQOORQONQLOTKNQQQRMOKNJTTQNPNKQSORNNOLOOOPLQPMRNTORQMQOMPMMLQPOMRQOPOONKJNOOOOLIOPPTPTMMPOQOMNLPRPPLLKQPOMMNQNMPPMIOTKKPLONRPOMORRNJORPTOSQOPPNJQOOKMLROOLRHOOPRQMQMLRQQPOOQNMKNOPRNNMRROOLNOQORMQOPPRLUMOMQSNPOPNPPNPLLMRQQTMQTKOOLORSMMNPQOSNMJ
